,station_id,bikes_available,docks_available,time
3133745,14,12,7,2013/09/04 14:57:02
3146702,14,5,14,2013/09/14 11:22:04
3155691,14,13,6,2013/09/20 19:01:01
3186780,14,14,5,2013/10/12 19:04:01
3195994,14,15,4,2013/10/19 10:07:02
3195995,14,16,3,2013/10/19 10:08:01
3195996,14,18,1,2013/10/19 10:09:01
3195998,14,17,2,2013/10/19 10:11:01
3200766,14,4,15,2013/10/22 17:52:01
3216876,14,0,19,2013/11/03 02:00:01
3232160,14,3,16,2013/11/13 16:55:02
3232161,14,2,17,2013/11/13 16:56:03
3342311,14,8,10,2014/01/29 08:44:03
3342316,14,1,10,2014/01/29 08:49:02
3342318,14,1,11,2014/01/29 08:51:02
3342321,14,0,11,2014/01/29 08:54:03
3342354,14,2,9,2014/01/29 09:27:02
3342398,14,3,8,2014/01/29 10:11:02
3342415,14,4,7,2014/01/29 10:28:03
3342416,14,5,6,2014/01/29 10:29:02
3342417,14,6,5,2014/01/29 10:30:02
3342418,14,6,7,2014/01/29 10:31:02
3342512,14,5,8,2014/01/29 12:05:02
3342888,14,6,8,2014/01/29 18:21:02
3342889,14,5,10,2014/01/29 18:22:01
3342890,14,6,10,2014/01/29 18:23:02
3342891,14,6,12,2014/01/29 18:24:02
3386365,16,2,13,2013/08/29 12:06:01
3387620,16,1,14,2013/08/30 11:32:01
3387623,16,3,12,2013/08/30 11:35:01
3387625,16,5,10,2013/08/30 11:37:01
3387628,16,6,9,2013/08/30 11:40:01
3387631,16,7,8,2013/08/30 11:43:02
3387934,16,4,11,2013/08/30 17:17:03
3388345,16,8,7,2013/08/31 00:55:01
3390556,16,12,3,2013/09/01 17:30:01
3390557,16,15,0,2013/09/01 17:31:01
3390827,16,14,1,2013/09/01 22:34:01
3390846,16,13,2,2013/09/01 22:54:01
3390847,16,11,4,2013/09/01 22:55:02
3390848,16,10,5,2013/09/01 22:56:01
3391610,16,9,6,2013/09/02 13:31:01
3416345,16,0,15,2013/09/20 21:46:01
3453500,16,6,8,2013/10/17 08:22:01
3453609,16,5,9,2013/10/17 10:11:02
3453648,16,4,10,2013/10/17 10:50:01
3453746,16,7,7,2013/10/17 12:28:02
3453854,16,8,6,2013/10/17 14:16:01
3603408,16,2,9,2014/01/29 18:52:02
3603410,16,3,9,2014/01/29 18:54:02
3603413,16,3,10,2014/01/29 18:57:02
3646854,21,8,7,2013/08/29 12:06:01
3647176,21,9,6,2013/08/29 18:03:01
3647247,21,7,8,2013/08/29 19:21:02
3649709,21,10,5,2013/08/31 16:54:01
3650962,21,6,9,2013/09/01 15:53:01
3653293,21,11,4,2013/09/03 11:50:01
3697490,21,4,11,2013/10/05 14:19:02
3698743,21,3,12,2013/10/06 11:17:02
3698745,21,2,13,2013/10/06 11:19:01
3698750,21,1,14,2013/10/06 11:24:01
3699035,21,5,10,2013/10/06 16:09:02
3714721,21,0,15,2013/10/17 20:34:02
3718578,21,4,10,2013/10/20 13:04:01
3801145,21,7,7,2013/12/17 01:13:02
3801372,21,6,8,2013/12/17 05:00:02
3802662,21,5,9,2013/12/18 02:30:02
3907343,22,13,14,2013/08/29 12:06:01
3907357,22,14,13,2013/08/29 12:22:01
3907378,22,12,15,2013/08/29 12:46:01
3908535,22,11,16,2013/08/30 10:25:01
3908583,22,10,17,2013/08/30 11:16:01
3908619,22,9,18,2013/08/30 11:55:01
3916770,22,8,19,2013/09/05 19:09:02
3917460,22,7,20,2013/09/06 08:20:01
3917655,22,6,21,2013/09/06 11:55:01
3934398,22,15,12,2013/09/18 20:11:01
3934400,22,16,11,2013/09/18 20:13:02
3934404,22,17,10,2013/09/18 20:17:02
3934405,22,18,9,2013/09/18 20:18:01
3935589,22,19,8,2013/09/19 16:12:01
3962687,22,20,7,2013/10/08 21:21:01
3975948,22,13,13,2013/10/18 08:53:02
3975949,22,14,12,2013/10/18 08:54:01
3975950,22,15,11,2013/10/18 08:55:02
3983376,22,10,16,2013/10/23 12:56:02
3990323,22,5,22,2013/10/28 10:51:02
3990330,22,4,23,2013/10/28 10:58:01
4069214,22,21,6,2013/12/22 07:33:02
4167832,23,8,7,2013/08/29 12:06:01
4168104,23,7,8,2013/08/29 17:06:01
4169517,23,9,6,2013/08/30 19:30:01
4177911,23,10,5,2013/09/06 07:33:01
4185903,23,5,10,2013/09/12 11:24:02
4185904,23,4,11,2013/09/12 11:25:01
4185925,23,3,12,2013/09/12 11:48:01
4187152,23,2,13,2013/09/13 09:24:01
4187415,23,6,9,2013/09/13 14:01:01
4194144,23,11,4,2013/09/18 07:39:02
4194259,23,12,3,2013/09/18 09:35:02
4258832,23,0,15,2013/11/03 02:00:01
4428321,24,8,7,2013/08/29 12:06:01
4429307,24,7,8,2013/08/30 06:37:02
4429653,24,9,6,2013/08/30 13:00:01
4431763,24,6,9,2013/09/01 03:42:01
4432406,24,5,10,2013/09/01 15:26:02
4433801,24,4,11,2013/09/02 17:47:01
4444930,24,10,5,2013/09/11 09:37:01
4446278,24,11,4,2013/09/12 09:24:02
4447646,24,12,3,2013/09/13 09:29:01
4477663,24,13,2,2013/10/04 16:32:02
4481533,24,14,1,2013/10/07 09:23:01
4519321,24,1,14,2013/11/03 02:00:01
4688810,25,7,8,2013/08/29 12:06:01
4689174,25,8,7,2013/08/29 18:49:01
4690390,25,9,6,2013/08/30 17:30:01
4729619,25,10,5,2013/09/28 16:21:01
4742227,25,11,4,2013/10/07 12:50:01
